acid_id,smiles,mw,n_heavy,n_rot,subclass,murcko_scaffold
Ac920,CC(C)(C)CC(C)(C)c1ccc(OCC(=O)O)cc1,264.365,19,5,acyclic_ali,c1ccccc1
Ac921,O=Cc1ccc(Br)cc1C(=O)O,229.029,12,2,benzoic,c1ccccc1
Ac922,COc1ccc(C2(C(=O)O)CCCC2)cc1,220.268,16,3,alpha_quat,c1ccc(C2CCCC2)cc1
Ac925,O=C(O)Cc1ccc(C(=O)c2ccccc2)cc1,240.258,18,4,acyclic_ali,O=C(c1ccccc1)c1ccccc1
Ac926,COc1cc(C(=O)O)c([N+](=O)[O-])c(OC)c1OC,257.198,18,5,benzoic,c1ccccc1
Ac927,CCN(CC)S(=O)(=O)c1ccc(C(=O)O)cc1,257.311,17,5,benzoic,c1ccccc1
Ac929,O=C(O)Cc1ccc(S(=O)(=O)Cl)cc1,234.66,14,3,acyclic_ali,c1ccccc1
Ac930,O=C(O)c1ccc([N+](=O)[O-])c(C(F)(F)F)c1,235.117,16,2,benzoic,c1ccccc1
Ac932,O=C(O)CCc1ccccc1C(F)(F)F,218.174,15,3,acyclic_ali,c1ccccc1
Ac933,CC(C)(C)N1C[C@@H](C(=O)O)[C@H](c2ccc(F)cc2F)C1,283.318,20,2,cyclic_ali,c1ccc(C2CCNC2)cc1
Ac934,O=C(O)c1ccc(Br)cc1I,326.915,11,1,benzoic,c1ccccc1
Ac935,Cc1cc(C)n(-c2ccc(C(=O)O)cc2)n1,216.24,16,2,benzoic,c1ccc(-n2cccn2)cc1
Ac936,O=C(O)c1sc(Cl)c(Cl)c1Cl,231.487,11,1,heteroaryl,c1ccsc1
Ac937,O=C(O)c1cc(-c2cccs2)nc2ccccc12,255.298,18,2,aryl_other,c1csc(-c2ccc3ccccc3n2)c1
Ac938,O=C(O)c1cc(-c2ccc(Br)cc2)nc2ccccc12,328.165,20,2,aryl_other,c1ccc(-c2ccc3ccccc3n2)cc1
Ac939,O=C(O)C1CN(C(c2ccccc2)c2ccccc2)C1,267.328,20,4,cyclic_ali,c1ccc(C(c2ccccc2)N2CCC2)cc1
Ac940,O=C(O)c1ccc(-c2ccc(Br)cc2)o1,267.078,15,2,heteroaryl,c1ccc(-c2ccco2)cc1
Ac941,O=C(O)c1cccc2cccc(I)c12,298.079,14,1,benzoic,c1ccc2ccccc2c1
Ac942,O=C(O)CCc1ccccc1I,276.073,12,3,acyclic_ali,c1ccccc1
Ac943,COc1ccc(C(=O)CCC(=O)O)cc1C,222.24,16,5,acyclic_ali,c1ccccc1
Ac944,O=C(O)c1ccc(OCCCCc2ccccc2)cc1,270.328,20,7,benzoic,c1ccc(CCCCOc2ccccc2)cc1
Ac945,Cc1ccc(S(=O)(=O)NC(CC(C)C)C(=O)O)cc1,285.365,19,6,alpha_amino,c1ccccc1
Ac946,Cc1ccc(C(=O)O)c(I)c1,262.046,11,1,benzoic,c1ccccc1
Ac947,O=C(O)CS(=O)c1ccc(Cl)cc1,218.661,13,3,acyclic_ali,c1ccccc1
Ac949,COc1cc(Br)cc(C(=O)O)c1OC,261.071,14,3,benzoic,c1ccccc1
Ac950,O=C(O)CCCc1ccc2c(c1)CCCC2,218.296,16,4,acyclic_ali,c1ccc2c(c1)CCCC2
Ac951,CN(C)S(=O)(=O)c1ccc(C(=O)O)cc1,229.257,15,3,benzoic,c1ccccc1
Ac952,O=C(O)CCCCCCCCC(=O)OCc1ccccc1,292.375,21,11,acyclic_ali,c1ccccc1
Ac954,CC1(C)CCC(C)(C)c2cc(C3(c4ccc(C(=O)O)cc4)OCCO3)ccc21,380.484,28,3,benzoic,c1ccc(C2(c3ccc4c(c3)CCCC4)OCCO2)cc1
Ac955,Cc1ccc(-n2nnc(C(=O)O)c2C)cc1,217.228,16,2,heteroaryl,c1ccc(-n2ccnn2)cc1
Ac956,O=C(O)Cc1ccc(F)c(C(F)(F)F)c1,222.137,15,2,acyclic_ali,c1ccccc1
Ac957,O=C(O)c1cc(Cl)nn1-c1ncccc1Cl,258.064,16,2,heteroaryl,c1ccc(-n2cccn2)nc1
Ac958,O=C(O)c1ccc(F)c(Br)n1,219.997,11,1,heteroaryl,c1ccncc1
Ac960,Cc1c(-c2ccccc2)nc2ccccc2c1C(=O)O,263.296,20,2,aryl_other,c1ccc(-c2ccc3ccccc3n2)cc1
Ac963,CC(C)(C)OC(=O)N1CCCC1CC(=O)O,229.276,16,2,acyclic_ali,C1CCNC1
Ac964,O=C(O)c1nc(Cl)c(Cl)c(Cl)c1Cl,260.891,13,1,heteroaryl,c1ccncc1
Ac965,NS(=O)(=O)c1cc(C(=O)O)cc([N+](=O)[O-])c1Cl,280.645,17,3,benzoic,c1ccccc1
Ac966,O=C(O)c1cc(-c2ccc(Cl)cc2)on1,223.615,15,2,heteroaryl,c1ccc(-c2ccno2)cc1
Ac967,CC(=O)c1ccc(OCCCC(=O)O)cc1,222.24,16,6,acyclic_ali,c1ccccc1
Ac968,O=C(O)CCCCCCCCCCc1ccccc1,262.393,19,11,acyclic_ali,c1ccccc1
Ac969,COc1ccc(C(=S)SCC(=O)O)cc1,242.321,15,4,acyclic_ali,c1ccccc1
Ac970,COc1ccc2c(c1)C(CC(=O)O)CC2=O,220.224,16,3,acyclic_ali,O=C1CCc2ccccc21
Ac971,O=C(O)CCSc1ccc(Cl)cc1,216.689,13,4,acyclic_ali,c1ccccc1
Ac973,CS(=O)(=O)c1ccc(Cl)c(C(=O)O)c1,234.66,14,2,benzoic,c1ccccc1
Ac974,O=C(O)c1cc(S(=O)(=O)Cl)ccc1Cl,255.078,14,2,benzoic,c1ccccc1
